number,label,title,created,html_url,state
1,[],"Updated rpc, website and faucet links koltigin_1540493-1.json",2024-02-05 15:38:21+00:00,https://github.com/dymensionxyz/chain-registry/pull/1,open
2,[],Added my new RollApp,2024-02-05 16:07:56+00:00,https://github.com/dymensionxyz/chain-registry/pull/2,closed
3,[],add osmosis,2024-02-05 18:12:45+00:00,https://github.com/dymensionxyz/chain-registry/pull/3,closed
4,[],Add RollApp - JLCripto,2024-02-05 19:16:47+00:00,https://github.com/dymensionxyz/chain-registry/pull/4,open
5,[],Update qavurdagli_3181994-1.json,2024-02-05 20:09:10+00:00,https://github.com/dymensionxyz/chain-registry/pull/5,open
6,[],register emberstake_3838714-1 rollapp,2024-02-05 21:22:59+00:00,https://github.com/dymensionxyz/chain-registry/pull/6,closed
7,[],Update meww_5192460-1.json,2024-02-05 23:04:16+00:00,https://github.com/dymensionxyz/chain-registry/pull/7,closed
8,[],Update aooo_7408480-1.json,2024-02-06 02:27:52+00:00,https://github.com/dymensionxyz/chain-registry/pull/8,open
9,[],RollApp using DA AvailProject,2024-02-06 02:30:21+00:00,https://github.com/dymensionxyz/chain-registry/pull/9,open
10,[],Update lala_3499152-1.json,2024-02-06 02:33:55+00:00,https://github.com/dymensionxyz/chain-registry/pull/10,open
11,[],Update anuoa_2671958-1.json,2024-02-06 02:38:06+00:00,https://github.com/dymensionxyz/chain-registry/pull/11,open
12,[],Update ceoop_1577640-1.json,2024-02-06 02:41:38+00:00,https://github.com/dymensionxyz/chain-registry/pull/12,open
13,[],Update brkoe_2857054-1.json,2024-02-06 02:44:46+00:00,https://github.com/dymensionxyz/chain-registry/pull/13,open
14,[],Update aomdm_9770056-1.json,2024-02-06 02:47:39+00:00,https://github.com/dymensionxyz/chain-registry/pull/14,open
15,[],Update aoodo_4930131-1.json,2024-02-06 02:57:18+00:00,https://github.com/dymensionxyz/chain-registry/pull/15,open
16,[],Update appoid_9070045-1.json,2024-02-06 03:00:58+00:00,https://github.com/dymensionxyz/chain-registry/pull/16,open
17,[],Update oadoo_2268284-1.json,2024-02-06 03:03:15+00:00,https://github.com/dymensionxyz/chain-registry/pull/17,open
18,[],Update ayanyu_1442638-1.json,2024-02-06 03:05:38+00:00,https://github.com/dymensionxyz/chain-registry/pull/18,open
19,[],Update apwon_7620042-1.json,2024-02-06 03:09:45+00:00,https://github.com/dymensionxyz/chain-registry/pull/19,open
20,[],Add wtlj_8656096-1 rollapp,2024-02-06 09:13:31+00:00,https://github.com/dymensionxyz/chain-registry/pull/20,open
21,[],added RollApp sandock_7919055-1,2024-02-06 12:08:47+00:00,https://github.com/dymensionxyz/chain-registry/pull/21,open
22,[],"Added my new  RollApp""ilaNihas""",2024-02-06 12:28:35+00:00,https://github.com/dymensionxyz/chain-registry/pull/22,open
23,[],Add rollup heldym_9169851-1,2024-02-06 15:43:10+00:00,https://github.com/dymensionxyz/chain-registry/pull/23,open
